step,q_target_0,q_target_1,q_target_2,q_target_3,q_target_4,q_target_5,q_target_6,gripper_norm,block_x,block_y,block_z
0,0.006180974963840291,-0.99560218587535,-0.009719429655540512,1.970823934915054,-0.00998307581427399,0.7562012968245962,-0.004447355513017559,0.011762781154274942,0.6,0.05,0.2849045486152053
1,-0.0038456228719770946,-1.0350089020962243,0.01238485310310411,1.9730779215970715,-0.02299643053779088,0.7325954663060006,-0.0028744965759308627,0.00978245336741209,0.6,0.05,0.28490462996410054
2,-0.01718542641047316,-1.1065540071683273,0.04812123487393105,1.9847768602448361,-0.032265556982969235,0.6956767130702035,0.01657388843681007,0.004564598637610674,0.6,0.05,0.2849046537789269
3,-0.0277935284127952,-1.1642526941870912,0.06147284817221199,1.971055529376031,-0.02465908131469352,0.6718318849564241,0.023211305918314107,0.0019041086168289185,0.6,0.05,0.2849046598325226
4,0.022076956307740647,-1.1665251890251058,0.018184846634277996,1.9055508307321205,0.03461026045587018,0.696880103795227,-0.01964634485889527,0.007140407313108444,0.6,0.05,0.2849046613712183
5,0.18573714916291373,-1.0767464479357582,-0.12247451045934232,1.7425333270234635,0.1712738215844466,0.806602031073016,-0.16965097623961145,0.0,0.6,0.05,0.28490466176232226
6,0.33405938848892114,-0.9767619147140741,-0.23012235516102808,1.6054788656432875,0.3117199569222207,0.9141439257124208,-0.31537334565685615,0.008722297749817372,0.6,0.05,0.2849046618617326
7,0.4904658531073569,-0.8702420230731616,-0.3117199129996431,1.4624123487908864,0.45805692163566325,0.9995112580974079,-0.45995041319917895,0.005468412587821484,0.6,0.05,0.28490466188700053
8,0.608428947229311,-0.7643213146282537,-0.3721459087890311,1.3177768008301691,0.6190471207404493,1.0603633818479987,-0.6037997973180937,0.006209627628386021,0.6,0.05,0.2849046618934232
9,0.6916806507604383,-0.6454131997950914,-0.4111276089330118,1.1762833743985923,0.7479410046853643,1.107352390936275,-0.7498291812425775,0.0034634729813933372,0.6,0.05,0.2849046618950556
10,0.6961939371645691,-0.6241247890520829,-0.4093273557768291,1.1897456570349854,0.762810795922163,1.1092015810054296,-0.7580081657979303,0.004607922591179609,0.6,0.05,0.2849046618954708
11,0.740619048313127,-0.5050379439029729,-0.445008327524401,1.0634543559454899,0.8754169630233771,1.1428450178886893,-0.9051459508152156,0.005548654270738363,0.6,0.05,0.28490466189557623
12,0.7827735402300586,-0.38842270032821,-0.45896451791266446,0.9544650732408129,0.965793233255184,1.163834416276838,-1.0457012267147918,0.005989879239410162,0.6,0.05,0.28490466189560304
13,0.8095733158270821,-0.2594762293199313,-0.467501361368299,0.8302482410788737,1.0291285801501695,1.1807074709169787,-1.1926919006140253,0.0056373581289052965,0.6,0.05,0.2849046618956097
14,0.8252083972112938,-0.10146378434440673,-0.4803486465534881,0.7015490733161073,1.0703606848320977,1.1877821676159703,-1.337206187625701,0.005474908201217652,0.6,0.05,0.2849046618956112
15,0.8347794018176176,0.05322462606455325,-0.4953205405476815,0.5860568787977897,1.0932326447341607,1.1955422109260243,-1.4566376846021987,0.0046892369441986085,0.6,0.05,0.2849046618956112
16,0.8470949439510111,0.23375150188847504,-0.5058330288229338,0.4625733400755998,1.1126935130574807,1.202561809001533,-1.5729974620729348,0.0016078728902935982,0.6,0.05,0.2849046618956112
17,0.8476347311471044,0.4251142669813792,-0.521319029169617,0.3664645230185194,1.1142807570239672,1.201402062406188,-1.637457962327227,0.00366027814874053,0.6,0.05,0.2849046618956112
18,0.8487901392223467,0.6464613421991057,-0.5418022384021279,0.27948809086407783,1.1102625044059369,1.1883361637907779,-1.6872941414158582,0.0043652011841833595,0.6,0.05,0.2849046618956112
19,0.843418614821674,0.8631625935690694,-0.5572421665037199,0.19814144445003185,1.1028259125198185,1.1858813069105296,-1.7157481869055276,0.005285283964276314,0.6,0.05,0.2849046618956112
20,0.8461778461804272,1.018834253589118,-0.5755681727958999,0.09601207941166394,1.1077009345420845,1.1737560981476338,-1.7626551327084237,0.0,0.6,0.05,0.2849046618956112
21,0.844258696646883,1.0432656980673287,-0.58715864589559,0.08111450933168847,1.1087725131220045,1.1692231285410282,-1.7692119096807346,0.0009591160532534123,0.6,0.05,0.2849046618956112
